(True, array([0.00000000e+00, 1.11022302e-16]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(True, array([1.11022302e-16, 0.00000000e+00]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(True, array([-1.11022302e-16,  0.00000000e+00]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([2.77555756e-17, 1.11022302e-16]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([ 1.38777878e-17, -1.11022302e-16]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(False, array([0., 0.]))
(True, array([1.11022302e-16, 5.55111512e-17]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([1.11022302e-16, 0.00000000e+00]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([-1.11022302e-16,  1.11022302e-16]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([-1.11022302e-16, -5.55111512e-17]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(True, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(True, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
(False, array([0., 0.]))
